name,similarity,rating,metacritic,playtime,ratings_count,genres_list
The Elder Scrolls V: Skyrim,0.9567,4.42,94,46,4839,"['Action', 'RPG']"
Grand Theft Auto V,0.9087,4.47,92,74,7232,['Action']
Dark Souls III,0.8633,4.4,89,29,2743,"['Action', 'RPG']"
God of War (2018),0.8545,4.55,94,15,5058,['Action']
Mass Effect 2,0.8507,4.46,94,22,3044,"['Action', 'RPG']"
Horizon Zero Dawn,0.8384,4.28,89,11,3748,"['Action', 'RPG']"
Red Dead Redemption 2,0.8346,4.59,96,21,5369,['Action']
Sekiro: Shadows Die Twice,0.7899,4.38,90,16,2087,"['Action', 'RPG']"
Mass Effect 3,0.7642,4.4,90,30,1766,"['Action', 'RPG']"
Assassin's Creed II,0.7591,4.42,89,14,2918,['Action']
